id_source,url_source,type,surface,prix,quartier,ville,description,photos_count,nb_pieces,dpe
ag690009-9312587,https://www.bienici.com/annonce/ag690009-9312587,office,17000,0,Corbas,Corbas,"Dans un parc logistique renové, plusieurs surfaces divisibles à partir de 2.500m2 avec accès à quai et de plain pied.
Loyer 41 €/HT/m2/an.
  Site : Corbas St Priest ZI Est
Acces direct par le Boulevar",4,,
ag690009-6523075,https://www.bienici.com/annonce/ag690009-6523075,office,16700,0,Trévoux,Trévoux,"Un bâtiment indépendant de 16.700 m2, dont 1.000 m2 de bureaux et locaux sociaux, à usage de stockage et logistique sur terrain clos de 4.5 hectares.
Accès à quais, de plain-pied et couverts
Hauteur 7",4,,
ag690009-6232948,https://www.bienici.com/annonce/ag690009-6232948,office,6500,0,Givors - Freydière,Givors,"Sur un terrain clos d'environ 22 300 m²,  A LOUER un bâtiment d'activités de 6500 m² comprenant 500 m² de bureaux et 6000 m² d'entrepôt ou atelier
Loyer activités : 45 € HT/m²/an
Loyer bureaux :  65 €",0,,
ag690009-9323863,https://www.bienici.com/annonce/ag690009-9323863,office,6000,0,Chassagny,Chassagny,"Au sud-ouest de l'agglomération lyonnaise, sur un terrain clos de 32 500 m², A LOUER un bâtiment industriel de 6000 m² environ.
Accès de plain pied : 6
- 2 de 9,00m x 5,00m
- 3 de 5,00m x 5,00m 
- 1 d",1,,
ag690009-9312591,https://www.bienici.com/annonce/ag690009-9312591,office,3830,0,Genas,Genas,"Sur 14.000 m² de terrain, un bâtiment de messagerie d'environ 3830 m2 comprenant 1545 m2 de bureaux et 2285 m² d'entrepôt avec 26 places à quai.
Possibilités de division Loyer Entrepôt = 46 € HT/m²/an",2,,
ag690009-16443089,https://www.bienici.com/annonce/ag690009-16443089,office,3800,0,Villeurbanne - Grand Clément,Villeurbanne,"Batiment independant sur grand terrain clos, avec stationnnements, des plateaux de 1000 m2 du RDC en R+2, avec sous sol de 774m2 pour stockage ou activité
Division possible par niveaux de 1000 m2
Loye",0,,
ag750647-48389199,https://www.bienici.com/annonce/ag750647-48389199,office,3200,0,Louvroil,Louvroil,Belle surface en Centre ville de LOUVROIL-59720 à périférie de Maubeuge et de la frontière Belge.(2 600 000 euros- 812euros /m²)   3200m² construits à réhabiliter et à reconstruire en logements et ser,3,,
ag740039-52449573,https://www.bienici.com/annonce/ag740039-52449573,shop,3000,0,Rodez,Rodez,"Département 12, Aveyron Hôtel-Restaurant , Murs et Fonds, Gros potentiel, 3 salles de Restaurant restaurant, Prestations complémentaires, pour clientèle Haut de Gamme, parking 70 Places) locaux 3000m2",8,,
ag690009-7150790,https://www.bienici.com/annonce/ag690009-7150790,office,2474,0,Lyon 2e Arrondissement - Perrache - Confluence,Lyon,"Immeuble de bureaux de bon standing, Bureaux cloisonnés et rénovés. Rafraîchissement d'air. Au RDCH : 400 m2 divisibles à partir de 76 m2 . Lot n°2 : 189,45 m2. Lot n°3: 75,77 m2.
ETAGE    M2    Non d",0,,
ag440554-39026849,https://www.bienici.com/annonce/ag440554-39026849,office,1750,0,Marseille 5e Arrondissement,Marseille,"a vendre murs commerciaux-marseille- sur un terrain de 3360m² bâtiment d'activités ,occupé ,baux commerciaux, loyer annuel de 128400 euros net ht, charges et taxe foncière charge locataire.prix de ven",2,,
ag170025-11843196,https://www.bienici.com/annonce/ag170025-11843196,shop,1700,0,Saint-Ciers-sur-Gironde,Saint-Ciers-sur-Gironde,"HOTEL RESTAURANT BAR Proche estuaire  env. 25n°, 80 places Parking  privé sur terrain total de + 1,4 hect. arboré. 3 Batiments, Très grand logement de fonction, beau taux d'occupation pour l'hotel ave",0,,
ag740039-44645823,https://www.bienici.com/annonce/ag740039-44645823,shop,1500,0,Auxerre,Auxerre,"AUXERRE 89000 - Murs de locaux commerciaux libre, activité à créer, surface totale exploitable couvert 1500 m². Stationnement pour véhicules, env 2000 m².  Le DPE en cours. (Le prix inclut nos honorai",0,,
ag740039-44887347,https://www.bienici.com/annonce/ag740039-44887347,shop,1500,0,Nérac,Nérac,"Proche NERAC, Ensemble de 1500m2 environ (restaurant rapide,parking devant, logement  de 60m2 environ et bâtiment en pierre de 1300m2 environ à restaurer) parc de  5000m2 donnant sur  la Baise avec ac",2,,
ag740039-45485577,https://www.bienici.com/annonce/ag740039-45485577,shop,1500,0,Auxerre,Auxerre,"AUXERRE 89000 - Murs de locaux commerciaux libre, activité à créer, surface totale exploitable couvert 1500 m². Stationnement pour véhicules, env 2000 m².  Le DPE en cours. (Le prix inclut nos honorai",0,,
ag740039-45631797,https://www.bienici.com/annonce/ag740039-45631797,shop,1500,0,Nérac,Nérac,"Proche NERAC, Ensemble de 1500m2 environ (restaurant rapide,parking devant, logement  de 60m2 environ et bâtiment en pierre de 1300m2 environ à restaurer) parc de  5000m2 donnant sur  la Baise avec ac",2,,
ag740039-46409297,https://www.bienici.com/annonce/ag740039-46409297,shop,1500,0,Nérac,Nérac,"Proche NERAC, Ensemble de 1500m2 environ (restaurant rapide,parking devant, logement  de 60m2 environ et bâtiment en pierre de 1300m2 environ à restaurer) parc de  5000m2 donnant sur  la Baise avec ac",2,,
ag740039-47085317,https://www.bienici.com/annonce/ag740039-47085317,shop,1500,0,Nérac,Nérac,"Proche NERAC, Ensemble de 1500m2 environ (restaurant rapide,parking devant, logement  de 60m2 environ et bâtiment en pierre de 1300m2 environ à restaurer) parc de  5000m2 donnant sur  la Baise avec ac",2,,
ag740039-47776741,https://www.bienici.com/annonce/ag740039-47776741,shop,1500,0,Nérac,Nérac,"Proche NERAC, Ensemble de 1500m2 environ (restaurant rapide,parking devant, logement  de 60m2 environ et bâtiment en pierre de 1300m2 environ à restaurer) parc de  5000m2 donnant sur  la Baise avec ac",2,,
